file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NW0035_0029_195396_to_201759,དེའི་ཉིན་དུས་རྒྱུན་གི་ཕྱག་ལས་གནང་བ་མ་གཏོགས་ལས་གཞི་གསར་བ་རིགས་འགོ་བཙུགས་མི་རུང་། ལྷག་པར་དུ་སྔ་དྲོའི་ཕྱག་ཚོད་བརྒྱད་དང་སྐར་མ་ ,de'i nyin dus rgyun gi phyag las gnang ba ma gtogs las gzhi gsar ba rigs 'go btsugs mi rung /_lhag par du snga dro'i phyag tshod brgyad dang skar ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0029_195396_to_201759.wav,STT_NW,2,123,6.363,wav16k/STT_NW0035_0029_195396_to_201759.wav,དེའི་ཉིན་དུས་རྒྱུན་གི་ཕྱག་ལས་གནང་བ་མ་གཏོགས་ལས་གཞི་གསར་བ་རིགས་མགོ་འཚོད་མི་རུང་། ལྷག་པར་དུ་སྔ་དྲོའི་ཕྱག་ཚོད་བརྒྱད་དང་སྐར་མ་
STT_NW0035_0030_201759_to_210543,བཅུ་གཉིས་ནས་དགོང་མོའི་ཕྱག་ཚོད་དྲུག་དང་སྐར་མ་སུམ་ཅུ་སོ་དྲུག་བར་བེ་སྤྲིན་ལྷོ་ནས་བྱང་གི་ཕྱོགས་སུ་རྒྱུ་བས། དབང་བཀུར་བ་དང་། རབ་གནས་བྱེད་པ། ཁྱད་པར་ ,bcu gnyis nas dgong mo'i phyag tshod drug dang skar ma sum cu so drug bar be sprin lho nas byang gi phyogs su rgyu bas/_dbang bkur ba dang /_rab gnas byed pa/_khyad par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0030_201759_to_210543.wav,STT_NW,2,142,8.784,wav16k/STT_NW0035_0030_201759_to_210543.wav,བཅུ་གཉིས་ནས་དགོང་མོ་ཕྱག་ཚོད་དྲུག་དང་སྐར་མ་སུམ་ཅུ་སོ་དྲུག་པར་བི་ཁྲིད་ལྷོ་ནས་བྱང་གི་ཕྱོགས་སུ་གྱུར་བས། དབང་བསྐུར་བ་དང་རབ་གནས་བྱས་པ་ཁྱད་པར་
STT_NW0035_0031_210543_to_219276,ནད་པར་མེ་རྒྱག་རྒྱུ་དང་གཤག་བཅོས་བྱེད་རྒྱུ་ལ་མི་བཟང་བས་ཡིད་གཟབ་གནང་དགོས། ཡང་སྒོས་དེའི་ཉིན་བག་གི་གནམ་སྒོ་ཁེལ་བས་བག་མ་གཏོང་ལེན་མི་རུང་བས་འཛེམ་པ་གནང་དགོས།  ,nad par me rgyag rgyu dang gshag bcos byed rgyu la mi bzang bas yid gzab gnang dgos/_yang sgos de'i nyin bag gi gnam sgo khel bas bag ma gtong len mi rung bas 'dzem pa gnang dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0031_210543_to_219276.wav,STT_NW,2,151,8.733,wav16k/STT_NW0035_0031_210543_to_219276.wav,ནད་པ་མེད་རྒྱག་རྒྱུ་དང་གཤགས་བཅོས་བྱེད་རྒྱུ་ལག་མི་བཟང་བས་ཟེམ་གནང་དགོས། ཡང་སྒོས་འདིའི་ཉིན་བག་གི་གནམ་སྒོ་ཁེལ་བས་ བག་མ་གཏོང་ལེན་མི་རུང་བས་འཛེམ་པ་གནང་དགོས།
STT_NW0035_0032_219276_to_225640,བོད་རྒྱལ་ལོ་ཉིས་སྟོང་གཅིག་བརྒྱ་སུམ་ཅུ་སུ་དགུ་རབ་བྱུང་བཅུ་བདུན་རབ་གནས་ཆུ་འབྲུག་ལོའི་བོད་ཟླ་བདུན་པ་ཚེས་བརྒྱད་རེས་གཟའ་སྤེན་པ་ ,bod rgyal lo nyis stong gcig brgya sum cu su dgu rab byung bcu bdun rab gnas chu 'brug lo'i bod zla bdun pa tshes brgyad res gza' spen pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0032_219276_to_225640.wav,STT_NW,2,123,6.364,wav16k/STT_NW0035_0032_219276_to_225640.wav,བོད་རཀྱི་ལོ་ཉིས་སྟོང་གཅིག་བརྒྱ་སུམ་ཅུ་སོ་དགུ། རབ་བྱུང་བཅུ་བདུན་རབ་གནས་ཆོ་འཕྲོག་ལོའི་བོད་ཟླ་བདུན་པ་ཚེས་བརྒྱད་རེས་གཟའ་སྤེན་པ་
STT_NW0035_0033_225640_to_228737,རེས་འགྲོགས་ཟླ་སྐར། ས་ག་དང། ཕྱི་ཟླ་བརྒྱད་པའི་ཚེས་ཉི་ཤུ་རྩ་ལྔ།  ,res 'grogs zla skar/_sa ga dang/_phyi zla brgyad pa'i tshes nyi shu rtsa lnga/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0033_225640_to_228737.wav,STT_NW,2,62,3.097,wav16k/STT_NW0035_0033_225640_to_228737.wav,རས་གྲོགས་ཟླ་སྐར་ས་ག་དང་ཕྱི་ཟླ་བརྒྱད་པ་ཚེས་ཉི་ཤུ་རྩ་ལྔ་
STT_NW0035_0034_228737_to_238736,འབྱུང་འཕྲོད་ས་མེ། ཞོགས་པ་ཕྱག་ཚོད་བདུན་དང་སྐར་མ་བཞི་ཅུ་ཞེ་བདུན་བར་ཚེས་ཆ་ཞན་པས་རབ་ཏུ་བྱུང་བ་དང་རབ་གནས་ལྷ་གསོལ་དང་རླུང་རྟ་དར་ལྕོག་བཙུགས་པ་མི་རུང་བས་ཡིད་གཟབ་གནང་དགོས།  ,'byung 'phrod sa me/_zhogs pa phyag tshod bdun dang skar ma bzhi cu zhe bdun bar tshes cha zhan pas rab tu byung ba dang rab gnas lha gsol dang rlung rta dar lcog btsugs pa mi rung bas yid gzab gnang dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0034_228737_to_238736.wav,STT_NW,2,164,9.999,wav16k/STT_NW0035_0034_228737_to_238736.wav,འབྱུང་འགྲོ་ཚང་མས་ཞོགས་པ་ཕྱག་ཚོད་བདུན་དང་སྐར་མ་བཞི་བཅུ་ཞེ་བདུན་པར་ཚེས་ཆ་གཞན་པས་རབ་ཏུ་བྱུང་བ་དང་རབ་གནས། ལྷ་སྲོལ་དང་རླུང་རྟ་དར་ཕྱུག་བཙུགས་པ་མི་རུང་བས་ཡིག་གཟམ་གནང་དགོས།
STT_NW0035_0035_238736_to_241954,ཡིན་ཡང་སྔ་དྲོ་ཕྱག་ཚོད་བདུན་དང་སྐར་མ་བཞི་ཅུ་ཞེ་བརྒྱད་ནས་ ,yin yang snga dro phyag tshod bdun dang skar ma bzhi cu zhe brgyad nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0035_238736_to_241954.wav,STT_NW,2,56,3.218,wav16k/STT_NW0035_0035_238736_to_241954.wav,ཡིན་ན་ཡང་སྔ་དྲོ་ཕྱག་ཚོད་བདུན་དང་སྐར་མ་བཞི་བཅུ་ཞེ་བརྒྱད་ནི་
STT_NW0035_0036_241954_to_243413,རེས་འགྲོགས་ཟླ་སྐར། ལྷ་མཚམས།  ,res 'grogs zla skar/_lha mtshams/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0036_241954_to_243413.wav,STT_NW,2,29,1.459,wav16k/STT_NW0035_0036_241954_to_243413.wav,རས་གྲོགས་ཟླ་སྐར་ལྷ་མཚམ་
STT_NW0035_0037_243413_to_251269,འབྱུང་འཕྲོད་ས་གཉིས་ཚེས་ཆ་བཟང་བས་ལྷ་ཁང་མཆོད་རྟེན་བཞེངས་པ། ཁང་པ་གསར་བ་རྒྱག་བ། དེ་བཞིན་ཁང་པ་སྤོ་བ། ཞིང་ཉོས་བ། གཡང་འགུག་བྱེད་པ།  ,'byung 'phrod sa gnyis tshes cha bzang bas lha khang mchod rten bzhengs pa/_khang pa gsar ba rgyag ba/_de bzhin khang pa spo ba/_zhing nyos ba/_g.yang 'gug byed pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0037_243413_to_251269.wav,STT_NW,2,125,7.856,wav16k/STT_NW0035_0037_243413_to_251269.wav,འབྱུང་འབྲོག་གས་རྙན་ཚེས་ཆ་བཟང་བས། ལྷ་ཁང་མཆོད་རྟེན་བཞེངས་པ། ཁང་པ་གསར་པ་རྒྱགས་པ། དེ་བཞིན་ཁང་པ་སྤོ་བ། གཞིགས་ཉེ་བ། གཡང་སྐུར་བྱེད་པ།
STT_NW0035_0038_251269_to_259122,ནོར་ཕྱུག་ལེན་པ། ས་བོན་འདེབས་པ། མིང་འདོགས་པ། དར་ལྕོག་བཙུགས་པ་བཟང་བ་ཡིན། ལྷག་པར་དུ་ལོ་རྟགས་གླང་གི་བླ་གཟའ་ཡིན་པས་ལམ་འགྲོ་ཆེ།  ,nor phyug len pa/_sa bon 'debs pa/_ming 'dogs pa/_dar lcog btsugs pa bzang ba yin/_lhag par du lo rtags glang gi bla gza' yin pas lam 'gro che/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0035_0038_251269_to_259122.wav,STT_NW,2,123,7.853,wav16k/STT_NW0035_0038_251269_to_259122.wav,ནོར་ཕྱོགས་ལེན་པ། ས་བོན་འདེབས་པ་མིང་འདོགས་པ། དར་ལྕོད་བཙུགས་པར་བཟང་བ་ཡིན། ལྷག་པར་དུ་ལོ་རྟགས་གླང་གི་བླ་བཟའ་ཡིན་པས་ལམ་འགྲོ་ཆེ།
